model,scope,k,train_rows,eval_users,recall,hit_rate,precision,ndcg,coverage,auc,logloss,train_seconds,eval_seconds,device,notes
TwoTower+DNN-Blend@100a0,big_matrix,20,2000000,7174,0.00026071,0.01923613,0.00101756,0.00093714,0.02787099,0.65892760,0.43812957,16.2911,19.6902,mlu,Two-Tower 先取 Top100 候选，再按 0*Ranker + 1*TwoTower 融合重排 Top20。
TwoTower+DNN-Blend@100a0.25,big_matrix,20,2000000,7174,0.00052838,0.03833287,0.00203513,0.00176272,0.02964206,0.72402625,0.42860782,16.2911,19.6902,mlu,Two-Tower 先取 Top100 候选，再按 0.25*Ranker + 0.75*TwoTower 融合重排 Top20。
TwoTower+DNN-Blend@100a0.5,big_matrix,20,2000000,7174,0.00060385,0.04711458,0.00254391,0.00267999,0.03383669,0.72582696,0.42615589,16.2911,19.6902,mlu,Two-Tower 先取 Top100 候选，再按 0.5*Ranker + 0.5*TwoTower 融合重排 Top20。
TwoTower+DNN-Blend@100a0.75,big_matrix,20,2000000,7174,0.00061390,0.04711458,0.00256482,0.00306519,0.03681954,0.72370195,0.43154326,16.2911,19.6902,mlu,Two-Tower 先取 Top100 候选，再按 0.75*Ranker + 0.25*TwoTower 融合重排 Top20。
TwoTower+DNN-Rerank@100,big_matrix,20,2000000,7174,0.00061391,0.04655701,0.00253694,0.00315332,0.03914989,0.72169642,0.44524577,16.2911,19.6902,mlu,Two-Tower 先取 Top100 候选，再按 1*Ranker + 0*TwoTower 融合重排 Top20。
TwoTower+DNN-Blend@200a0,big_matrix,20,2000000,7174,0.00026071,0.01923613,0.00101756,0.00093714,0.02787099,0.64255597,0.45280807,16.2911,19.6902,mlu,Two-Tower 先取 Top200 候选，再按 0*Ranker + 1*TwoTower 融合重排 Top20。
TwoTower+DNN-Blend@200a0.25,big_matrix,20,2000000,7174,0.00054200,0.04028436,0.00213967,0.00182291,0.03066741,0.71901389,0.44531750,16.2911,19.6902,mlu,Two-Tower 先取 Top200 候选，再按 0.25*Ranker + 0.75*TwoTower 融合重排 Top20。
TwoTower+DNN-Blend@200a0.5,big_matrix,20,2000000,7174,0.00091337,0.07359911,0.00402147,0.00376241,0.03607383,0.72680317,0.44488006,16.2911,19.6902,mlu,Two-Tower 先取 Top200 候选，再按 0.5*Ranker + 0.5*TwoTower 融合重排 Top20。
TwoTower+DNN-Blend@200a0.75,big_matrix,20,2000000,7174,0.00097538,0.07833844,0.00433510,0.00446614,0.04082774,0.72589740,0.45225740,16.2911,19.6902,mlu,Two-Tower 先取 Top200 候选，再按 0.75*Ranker + 0.25*TwoTower 融合重排 Top20。
TwoTower+DNN-Rerank@200,big_matrix,20,2000000,7174,0.00099447,0.08001115,0.00443964,0.00471383,0.04222595,0.72438504,0.46792348,16.2911,19.6902,mlu,Two-Tower 先取 Top200 候选，再按 1*Ranker + 0*TwoTower 融合重排 Top20。
TwoTower+DNN-Blend@500a0,big_matrix,20,2000000,7174,0.00026071,0.01923613,0.00101756,0.00093714,0.02787099,0.64398548,0.50748566,16.2911,19.6902,mlu,Two-Tower 先取 Top500 候选，再按 0*Ranker + 1*TwoTower 融合重排 Top20。
TwoTower+DNN-Blend@500a0.25,big_matrix,20,2000000,7174,0.00054215,0.04028436,0.00213967,0.00182123,0.03225205,0.69290709,0.50050815,16.2911,19.6902,mlu,Two-Tower 先取 Top500 候选，再按 0.25*Ranker + 0.75*TwoTower 融合重排 Top20。
TwoTower+DNN-Blend@500a0.5,big_matrix,20,2000000,7174,0.00096321,0.07680513,0.00418177,0.00386459,0.03905667,0.69881926,0.50116176,16.2911,19.6902,mlu,Two-Tower 先取 Top500 候选，再按 0.5*Ranker + 0.5*TwoTower 融合重排 Top20。
TwoTower+DNN-Blend@500a0.75,big_matrix,20,2000000,7174,0.00110551,0.08712016,0.00476025,0.00470678,0.04259881,0.69712128,0.51020645,16.2911,19.6902,mlu,Two-Tower 先取 Top500 候选，再按 0.75*Ranker + 0.25*TwoTower 融合重排 Top20。
TwoTower+DNN-Rerank@500,big_matrix,20,2000000,7174,0.00119239,0.09325342,0.00507388,0.00499114,0.04642058,0.69443241,0.52808636,16.2911,19.6902,mlu,Two-Tower 先取 Top500 候选，再按 1*Ranker + 0*TwoTower 融合重排 Top20。
